Entry Date,Posting Date,Organization,Organization Branch,Vendor Inv No,Vendor Inv Date,Currency,ExchRate,Narration,Due Date,Charge or GL,Charge or GL Name,Charge or GL Amount,DR or CR,Cost Center,Branch, Charge Narration,TaxGroup,Tax Type,SAC or HSN,Taxcode1,Taxcode1 Amt,Taxcode2,Taxcode2 Amt,Taxcode3,Taxcode3 Amt,Taxcode4,Taxcode4 Amt,Avail Tax Credit,LOB,Ref Type,Ref No,Amount,Start Date,End Date,WH Tax Code,WH Tax Percentage,WH Tax Taxable,WH Tax Amount,Round Off,CC Code
13-Feb-2026,13-Feb-2026,AIR INDIA EXPRESS LIMITED,MUMBAI,IBOM251000022699,11-Oct-2025,INR,1,"BEING AMOUNT PAYABLE TO AIR INDIA EXPRESS LIMITED FROM BOM TO JAI PNR:RYNT6K PAX:Nisarg Agrawal
Passenger Address",13-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,31451.42,Dr,,HARYANA,BASE FARE,GSTIN,Taxable,996425,IGST,1572.58,,,,,,,100,,,,34796.0,,,,,,,Yes,
13-Feb-2026,13-Feb-2026,AIR INDIA EXPRESS LIMITED,MUMBAI,IBOM251000022699,11-Oct-2025,INR,1,"BEING AMOUNT PAYABLE TO AIR INDIA EXPRESS LIMITED FROM BOM TO JAI PNR:RYNT6K PAX:Nisarg Agrawal
Passenger Address",13-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,1772.0,Dr,,HARYANA,AIRPORT CHARGES,,Non-Taxable,,,,,,,,,,100,,,,34796.0,,,,,,,Yes,
13-Feb-2026,13-Feb-2026,AIR INDIA LTD,RAJASTHAN,082622BP10AAC136,15-Oct-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM JAI TO BOM PNR:FZ28GG PAX:AGRAWAL OMPRAKASH MR,13-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,1046.66,Dr,,HARYANA,BASE FARE,GSTIN,Taxable,996425,IGST,52.33,,,,,,,100,,,,1098.99,,,,,,,Yes,
13-Feb-2026,13-Feb-2026,AIR INDIA LTD,RAJASTHAN,082622BP10AAC137,15-Oct-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM JAI TO BOM PNR:FZ28GG PAX:AGRAWAL NISARG MR,13-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,1046.66,Dr,,HARYANA,BASE FARE,GSTIN,Taxable,996425,IGST,52.33,,,,,,,100,,,,1098.99,,,,,,,Yes,
13-Feb-2026,13-Feb-2026,InterGlobe Aviation Limited,KARNATAKA,KA1252612CR78975,17-Dec-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BLR TO BOM PNR:X58H7S PAX:PNR,13-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,6089.0,Dr,,HARYANA,BASE FARE,GSTIN,Taxable,996425,IGST,304.0,,,,,,,100,,,,7367.0,,,,,,,Yes,
13-Feb-2026,13-Feb-2026,InterGlobe Aviation Limited,KARNATAKA,KA1252612CR78975,17-Dec-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BLR TO BOM PNR:X58H7S PAX:PNR,13-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,974.0,Dr,,HARYANA,AIRPORT CHARGES,,Non-Taxable,,,,,,,,,,100,,,,7367.0,,,,,,,Yes,
13-Feb-2026,13-Feb-2026,AIR INDIA LTD,NEW DELHI,072622BP12ACF261,18-Dec-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM DEL TO BOM PNR:D3WIEJ PAX:AGRAWAL NISARG MR,13-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,1047.61,Dr,,HARYANA,BASE FARE,GSTIN,Taxable,996425,IGST,52.38,,,,,,,100,,,,1099.99,,,,,,,Yes,
13-Feb-2026,13-Feb-2026,AIR INDIA LTD,NEW DELHI,072612BP12AFH698,16-Dec-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM DEL TO BOM PNR:D3WIEJ PAX:AGRAWAL NISARG MR,13-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,7505.0,Dr,,HARYANA,BASE FARE,GSTIN,Taxable,996425,IGST,376.0,,,,,,,100,,,,8358.0,,,,,,,Yes,
13-Feb-2026,13-Feb-2026,AIR INDIA LTD,NEW DELHI,072612BP12AFH698,16-Dec-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM DEL TO BOM PNR:D3WIEJ PAX:AGRAWAL NISARG MR,13-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,477.0,Dr,,HARYANA,AIRPORT CHARGES,,Non-Taxable,,,,,,,,,,100,,,,8358.0,,,,,,,Yes,
13-Feb-2026,13-Feb-2026,AIR INDIA LTD,NEW DELHI,072612BP12AFS008,18-Dec-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM DEL TO BOM PNR:DZSSOH PAX:AGRAWAL NISARG MR,13-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,5600.0,Dr,,HARYANA,BASE FARE,GSTIN,Taxable,996425,IGST,280.0,,,,,,,100,,,,6357.0,,,,,,,Yes,
